idx,검색어,,,,
2718,Sodium Riboflavin Phosphate,소듐리보플라빈포스페이트,Sodium Riboflavin Phosphate,피부컨디셔닝제(기타),
2719,Niacin,나이아신,Niacin,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
2720,Pantothenic acid,판토테닉애씨드,Pantothenic Acid,모발컨디셔닝제,
2721,pyridoxine,피리독신,Pyridoxine,"모발컨디셔닝제, 피부컨디셔닝제",
2722,Pyridoxine HCl,피리독신에이치씨엘,Pyridoxine HCl,"모발컨디셔닝제, 피부컨디셔닝제",
2723,Folic acid,폴릭애씨드,Folic Acid,피부컨디셔닝제,
2724,Ascorbic acid,아스코빅애씨드,Ascorbic Acid,"산화방지제, 착향제, pH 조절제, 피부컨디셔닝제",
2725,,,,,
2726,Sodium ascorbate,소듐아스코베이트,Sodium Ascorbate,산화방지제,
2727,,,,,
2728,,,,,
2729,,,,,
2730,,,,,
2731,Tocopheryl Acetate,토코페릴아세테이트,Tocopheryl Acetate,"산화방지제, 피부컨디셔닝제",
2732,,,,,
2733,,,,,
2734,,,,,
2735,,,,,
2736,,,,,
2737,,,,,
2738,Niacin,나이아신,Niacin,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
2739,,,,,
2740,,,,,
2741,Vitis Vinifera Leaf Extract,포도잎추출물,Vitis Vinifera (Grape) Leaf Extract,피부컨디셔닝제,
2742,Silica,실리카,Silica,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 현탁화제-비계면활성제",
2743,VP/VA Copolymer,브이피/브이에이코폴리머,VP/VA Copolymer,"결합제, 피막형성제, 모발고정제, 현탁화제-비계면활성제",
2744,,,,,
2745,,,,,
2746,Water,정제수,Water,"피부컨디셔닝제, 용제",
2747,,,,,
2748,,,,,
2749,Nasturtium Officinale Extract,물냉이추출물,Nasturtium Officinale Extract,"향료, 피부컨디셔닝제",
2750,,,,,
2751,,,,,
2752,,,,,
2753,Wheat Germ Glycerides,밀배아글리세라이즈,Wheat Germ Glycerides,피부컨디셔닝제(유연제),
2754,Triticum Vulgare Germ Oil,밀배아오일,Triticum Vulgare (Wheat) Germ Oil,수분증발차단제,
2755,Triticum Vulgare Protein,밀단백질,Triticum Vulgare (Wheat) Protein,"피막형성제, 모발컨디셔닝제, 피부컨디셔닝제",
2756,Wheatgermamidopropyl Dimethylamine Hydrolyzed Wheat Protein,위트점아미도프로필다이메틸아민하이드롤라이즈드밀단백질,Wheatgermamidopropyl Dimethylamine Hydrolyzed Wheat Protein,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
2757,,,,,
2758,,,,,
2759,Whey protein,유청단백질,Whey Protein,"모발컨디셔닝제, 피부컨디셔닝제",
2760,,,,,
2761,,,,,
2762,Zingiber Zerumbet Extract,아와푸히추출물,Zingiber Zerumbet Extract,피부컨디셔닝제(기타),
2763,,,,,
2764,,,,,
2765,,,,,
2766,,,,,
2767,,,,,
2768,,,,,
2769,,,,,
2770,Chrysanthemum Sinense Flower Extract,시넨스국화꽃추출물,Chrysanthemum Sinense Flower Extract,계면활성제(세정제),
2771,,,,,
2772,,,,,
2773,,,,,
2774,,,,,
2775,Xanthan gum,잔탄검,Xanthan Gum,"결합제, 유화안정제, 피부컨디셔닝제, 계면활성제-유화제, 점증제-수용성",
2776,,,,,
2777,Xylitol,자일리톨,Xylitol,"감미제, 보습제, 피부보습제",
2778,Xylitylglucoside,자일리틸글루코사이드,Xylitylglucoside,피부컨디셔닝제(보습제),
2779,,,,,
2780,,,,,
2781,,,,,
2782,,,,,
2783,,,,,
2784,Yeast Extract,효모추출물,Yeast Extract,"피부보호제, 피부컨디셔닝제(기타)",
2785,,,,,
2786,,,,,
2787,,,,,
2788,,,,,
2789,Yogurt Powder,요구르트가루,Yogurt Powder,"감미제, 모발컨디셔닝제",
2790,,,,,
2791,,,,,
2792,,,,,
2793,,,,,
2794,Zanthoxylum Piperitum Fruit Extract,초피나무열매추출물,Zanthoxylum Piperitum Fruit Extract,피부컨디셔닝제(기타),
2795,Zea Mays Kernel Meal,옥수수커넬가루,Zea Mays (Corn) Kernel Meal,"연마제, 벌킹제(증량제)",
2796,Zeolite,제올라이트,Zeolite,"흡수제, 탈취제",
2797,,,,,
2798,Zinc Acetate,징크아세테이트,Zinc Acetate,"수렴제, 피부보호제",
2799,Zinc Chloride,징크클로라이드,Zinc Chloride,수렴제,
2800,Zinc Citrate,징크시트레이트,Zinc Citrate,살균제,
2801,,,,,
2802,Zinc Gluconate,징크글루코네이트,Zinc Gluconate,피부컨디셔닝제,
2803,,,,,
2804,CI 77947/Zinc Oxide,징크옥사이드,Zinc Oxide,"벌킹제(증량제), 피부보호제, 자외선차단제",
2805,,,,,
2806,Zinc phenolsulfonate,징크페놀설포네이트,Zinc Phenolsulfonate,"수렴제, 탈취제",
2807,Zinc Pyrithione,징크피리치온,Zinc Pyrithione,"모발컨디셔닝제, 보존제",
2808,Zinc sulfate,징크설페이트,Zinc Sulfate,수렴제,
2809,,,,,
2810,,,,,
2811,,,,,
2812,Zingiber Officinale Root Oil,생강오일,Zingiber Officinale (Ginger) Root Oil,"감미제, 향료, 피부컨디셔닝제(기타)",
2813,,,,,
2814,,,,,
2815,,,,,
2816,,,,,
2817,,,,,
2818,,,,,
2819,,,,,
2820,,,,,
2821,,,,,
2822,Hypnea Musciformis Extract,힙네아 무스키포르미스추출물,Hypnea Musciformis Extract,피부컨디셔닝제(기타),
2823,,,,,
2824,,,,,
2825,,,,,
2826,,,,,
2827,Algae Extract,조류추출물,Algae Extract,"착향제, 보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
2828,,,,,
2829,Saccharin,사카린,Saccharin,"감미제, 착향제",
2830,,,,,
2831,Glycyrrhiza Glabra Root Powder,스페인감초뿌리가루,Glycyrrhiza Glabra (Licorice) Root Powder,피부컨디셔닝제(기타),
2832,,,,,
2833,,,,,
2834,,,,,
2835,,,,,
2836,,,,,
2837,,,,,
2838,Formic acid,포믹애씨드,Formic Acid,"착향제, pH 조정제, 보존제",
2839,,,,,
2840,,,,,
2841,,,,,
2842,,,,,
2843,,,,,
2844,,,,,
2845,,,,,
2846,,,,,
2847,,,,,
2848,Gentiana Lutea Root Extract,겐티아나뿌리추출물,Gentiana Lutea Root Extract,"착향제, 피부컨디셔닝제(기타)",
2849,,,,,
2850,,,,,
2851,Microcrystalline Cellulose,마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,"연마제, 흡수제, 안티케이킹제, 벌킹제(증량제), 유화안정제, 미끄럼조정제/활택제, 점도증가제(수성)",
2852,,,,,
2853,,,,,
2854,,,,,
2855,,,,,
2856,,,,,
2857,Cinnamomum Cassia Leaf Oil,육계잎오일,Cinnamomum Cassia Leaf Oil,"변성제, 감미제, 착향제",
2858,,,,,
2859,,,,,
2860,,,,,
2861,,,,,
2862,Wasabia Japonica Root Extract,고추냉이뿌리추출물,Wasabia Japonica Root Extract,피부컨디셔닝제(기타),
2863,,,,,
2864,Hydrogen Peroxide,하이드로젠퍼옥사이드,Hydrogen Peroxide,산화제,
2865,,,,,
2866,,,,,
2867,Lycium Chinense Fruit Extract,구기자추출물,Lycium Chinense Fruit Extract,산화방지제,
2868,,,,,
2869,Cyamopsis Tetragonoloba Gum,구아검,Cyamopsis Tetragonoloba (Guar) Gum,"결합제, 유화안정제, 착향제, 점도증가제(수성)",
2870,Guar Hydroxypropyltrimonium Chloride,구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 점도증가제(수성)",
2871,Citric acid,시트릭애씨드,Citric Acid,"금속이온봉쇄제, 향료, pH 조절제",
2872,Zinc Citrate,징크시트레이트,Zinc Citrate,살균제,
2873,,,,,
2874,Chrysanthemum Morifolium Flower Extract,국화추출물,Chrysanthemum Morifolium Flower Extract,피부컨디셔닝제(기타),
2875,,,,,
2876,,,,,
2877,,,,,
2878,,,,,
2879,Sodium Gluconate,소듐글루코네이트,Sodium Gluconate,"금속이온봉쇄제, 피부컨디셔닝제",
2880,Zinc Gluconate,징크글루코네이트,Zinc Gluconate,피부컨디셔닝제,
2881,Glycereth-25 PCA Isostearate,글리세레스-25피씨에이아이소스테아레이트,Glycereth-25 PCA Isostearate,피부컨디셔닝제(기타),
2882,Glycereth-26,글리세레스-26,Glycereth-26,"피부컨디셔닝제(보습제), 점도감소제",
2883,,,,,
2884,,,,,
2885,,,,,
2886,,,,,
2887,,,,,
2888,,,,,
2889,,,,,
2890,,,,,
2891,,,,,
2892,,,,,
2893,Glyceryl Laurate,글리세릴라우레이트,Glyceryl Laurate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
2894,Glyceryl Stearate SE,글리세릴스테아레이트에스이,Glyceryl Stearate SE,계면활성제(유화제),
2895,,,,,
2896,Glyceryl Stearate Citrate,글리세릴스테아레이트시트레이트,Glyceryl Stearate Citrate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
2897,,,,,
2898,,,,,
2899,Dipotassium Glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,"감미제, 피부컨디셔닝제(기타)",
2900,,,,,
2901,Laminaria Angustata Extract,긴다시마추출물,Laminaria Angustata Extract,피부컨디셔닝제(기타),
2902,Iris Ensata Extract,꽃창포추출물,Iris Ensata Extract,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
2903,,,,,
2904,,,,,
2905,,,,,
2906,,,,,
2907,,,,,
2908,,,,,
2909,,,,,
2910,,,,,
2911,,,,,
2912,,,,,
2913,Egg Yolk Extract,난황추출물,Egg Yolk Extract,계면활성제(유화제),
2914,,,,,
2915,,,,,
2916,Morinda Citrifolia Fruit Extract,노니열매추출물,Morinda Citrifolia Fruit Extract,피부컨디셔닝제(기타),
2917,Morinda Citrifolia Extract,노니추출물,Morinda Citrifolia Extract,수렴제,
2918,,,,,
2919,Vigna Radiata Seed Extract,녹두추출물,Vigna Radiata Seed Extract,피부컨디셔닝제(기타),
2920,,,,,
2921,,,,,
2922,,,,,
2923,,,,,
2924,,,,,
2925,CAMELLIA SINENSIS SEED OIL,녹차씨오일,Camellia Sinensis Seed Oil,"피부컨디셔닝제(보습제), 피부컨디셔닝제(수분차단제)",
2926,,,,,
2927,,,,,
2928,,,,,
2929,,,,,
2930,,,,,
2931,Glycerin,글리세린,Glycerin,"변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",
2932,,,,,
2933,,,,,
2934,,,,,
2935,,,,,
2936,,,,,
2937,,,,,
2938,,,,,
2939,,,,,
2940,,,,,
2941,Rosa Damascena Flower Oil,다마스크장미꽃오일,Rosa Damascena Flower Oil,"착향제, 피부컨디셔닝제(기타)",
2942,Rosa Damascena Flower Extract,다마스크장미꽃추출물,Rosa Damascena Flower Extract,향료,
2943,,,,,
2944,Dimer dilinoleyl dimer dilinoleate,다이머다이리놀레일다이머다이리놀리에이트,Dimer Dilinoleyl Dimer Dilinoleate,"결합제, 헤어컨디셔닝제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
2945,,,,,
2946,,,,,
2947,Dimethiconol Panthenol,다이메티콘올판텐올,Dimethiconol Panthenol,헤어컨디셔닝제,
2948,Dimethyl Heptenal,다이메틸헵텐알,Dimethyl Heptenal,피부컨디셔닝제(기타),
2949,,,,,
2950,Disodium Lauroamphodiacetate,다이소듐라우로암포다이아세테이트,Disodium Lauroamphodiacetate,"헤어컨디셔닝제, 계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",
2951,Disodium Succinate,다이소듐석시네이트,Disodium Succinate,착향제,
2952,Disodium Wheatgermamphodiacetate,다이소듐위트점암포다이아세테이트,Disodium Wheatgermamphodiacetate,"헤어컨디셔닝제, 계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",
2953,,,,,
2954,,,,,
2955,다이에틸헥실석시네이트,다이에틸헥실석시네이트,Diethylhexyl Succinate,"가소제, 피부컨디셔닝제(유연제), 용제",
2956,Diethylhexyl sodium sulfosuccinate,다이에틸헥실소듐설포석시네이트,Diethylhexyl Sodium Sulfosuccinate,"계면활성제(세정제), 계면활성제(친수제)",
2957,,,,,
2958,,,,,
2959,Protease,프로테아제,Protease,"용해제, 피부컨디셔닝제",
2960,Santalum Album Extract,단향추출물,Santalum Album (Sandalwood) Extract,피부컨디셔닝제(기타),
2961,Oenothera Biennis Seed Extract,달맞이꽃씨추출물,Oenothera Biennis (Evening Primrose) Seed Extract,피부컨디셔닝제(기타),
2962,Angelica Gigas Root Extract,참당귀뿌리추출물,Angelica Gigas Root Extract,"헤어컨디셔닝제, 퍼머넌트웨이브용제/헤어스트레이트너용제, 피부컨디셔닝제(기타)",
2963,,,,,
2964,,,,,
2965,,,,,
2966,,,,,
2967,,,,,
2968,,,,,
2969,,,,,
2970,,,,,
2971,Pinus Palustris Leaf Extract,대왕송잎추출물,Pinus Palustris Leaf Extract,피부컨디셔닝제(기타),
2972,,,,,
2973,Decanal,데칸알,Decanal,착향제,
2974,,,,,
2975,,,,,
2976,,,,,
2977,PLATYCODON GRANDIFLORUS ROOT EXTRACT,도라지뿌리추출물,Platycodon Grandiflorus Root Extract,산화방지제,
2978,Glycine Soja Seed Extract,돌콩추출물,Glycine Soja (Soybean) Seed Extract,"스크럽제, 벌킹제, 점증제-수용성",
2979,,,,,
2980,Camellia Japonica Flower Extract,동백나무꽃추출물,Camellia Japonica Flower Extract,피부컨디셔닝제(유연제),
2981,,,,,
2982,Camellia Japonica Seed Extract,동백나무씨추출물,Camellia Japonica seed Extract,피부컨디셔닝제(기타),
2983,Camellia Japonica Leaf Extract,동백나무잎추출물,Camellia Japonica Leaf Extract,피부컨디셔닝제(기타),
2984,Cymbopogon Flexuosus Oil,동인도레몬그라스오일,Cymbopogon Flexuosus Oil,착향제,
2985,Cordyceps Sinensis Extract,동충하초추출물,Cordyceps Sinensis Extract,"산화방지제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제)",
2986,Chlorophyllin-Copper Complex,클로로필린-카퍼컴플렉스,Chlorophyllin-Copper Complex,"산화방지제, 착색제",
2987,,,,,
2988,Juniperus Communis Fruit Oil,두송열매오일,Juniperus Communis Fruit Oil,"수렴제, 착향제",
2989,Eucommia Ulmoides Extract,두충추출물,Eucommia Ulmoides Extract,피부컨디셔닝제(기타),
2990,Moringa Oleifera Seed Oil,드럼스틱씨오일,Moringa Oleifera Seed Oil,"피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제), 피부컨디셔닝제(수분차단제)",
2991,,,,,
2992,,,,,
2993,,,,,
2994,,,,,
2995,,,,,
2996,Chrysanthemum Morifolium Flower Extract,국화추출물,Chrysanthemum Morifolium Flower Extract,피부컨디셔닝제(기타),
2997,,,,,
2998,,,,,
2999,,,,,
3000,,,,,
3001,Disodium Laureth Sulfosuccinate,다이소듐라우레스설포석시네이트,Disodium Laureth Sulfosuccinate,"계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",
3002,,,,,
3003,,,,,
3004,,,,,
3005,,,,,
3006,,,,,
3007,,,,,
3008,,,,,
3009,Disodium Phosphate,다이소듐포스페이트,Disodium Phosphate,"완충화제, 부식방지제, 착향제, pH 조정제",
3010,,,,,
3011,,,,,
3012,Diethylamino hydroxybenzoyl hexyl benzoate,디에칠아미노하이드록시벤조일헥실벤조에이트,Diethylamino Hydroxybenzoyl Hexyl Benzoate,"변색방지제, 자외선차단(기능성화장품)",
3013,Ethoxydiglycol,에톡시다이글라이콜,Ethoxydiglycol,"착향제, 용제, 점도감소제",
3014,Sodium Dehydroacetate,소듐데하이드로아세테이트,Sodium Dehydroacetate,살균보존제,
3015,,,,,
3016,,,,,
3017,,,,,
3018,Laneth-5,라네스-5,Laneth-5,"피부컨디셔닝제(기타), 계면활성제(유화제)",
3019,,,,,
3020,,,,,
3021,,,,,
3022,,,,,
3023,,,,,
3024,,,,,
3025,,,,,
3026,,,,,
3027,,,,,
3028,Lavandula Angustifolia Water,라벤더수,Lavandula Angustifolia (Lavender) Water,착향제,
3029,,,,,
3030,,,,,
3031,,,,,
3032,,,,,
3033,Laureth-23,라우레스-23,Laureth-23,"계면활성제(세정제), 계면활성제(용해보조제)",
3034,Laureth-3,라우레스-3,Laureth-3,계면활성제(유화제),
3035,Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein,라우다이모늄하이드록시프로필하이드롤라이즈드밀단백질,Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein,"정전기방지제, 헤어컨디셔닝제",
3036,,,,,
3037,,,,,
3038,,,,,
3039,,,,,
3040,Lauryl hydroxysultaine,라우릴하이드록시설테인,Lauryl Hydroxysultaine,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(거품촉진제), 점도증가제(수성)",
3041,,,,,
3042,,,,,
3043,Citrus Aurantifolia Fruit Extract,라임추출물,Citrus Aurantifolia (Lime) Fruit Extract,피부컨디셔닝제(기타),
3044,Rubus Idaeus Seed Oil,라즈베리씨오일,Rubus Idaeus (Raspberry) Seed Oil,피부컨디셔닝제(유연제),
3045,,,,,
3046,,,,,
3047,,,,,
3048,,,,,
3049,,,,,
3050,,,,,
3051,,,,,
3052,,,,,
3053,,,,,
3054,Sodium Lactate,소듐락테이트,Sodium Lactate,"pH 완충제, 각질제거제, 보습제",
3055,Calcium Lactate,칼슘락테이트,Calcium Lactate,"수렴제, 각질제거제",
3056,Calcium Lactate,칼슘락테이트,Calcium Lactate,"수렴제, 각질제거제",
3057,Rhamnose,람노오스,Rhamnose,"감미제, 착향제",
3058,,,,,
3059,,,,,
3060,Melissa Officinalis Leaf Extract,레몬밤잎추출물,Melissa Officinalis Leaf Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
3061,,,,,
3062,,,,,
3063,,,,,
3064,,,,,
3065,,,,,
3066,Leucine,류신,Leucine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
3067,,,,,
3068,,,,,
3069,,,,,
3070,,,,,
3071,Rosmarinus Officinalis Leaf Water,로즈마리잎수,Rosmarinus Officinalis (Rosemary) Leaf Water,착향제,
3072,,,,,
3073,,,,,
3074,,,,,
3075,,,,,
3076,Aspalathus Linearis Extract,루이보스추출물,Aspalathus Linearis Extract,피부컨디셔닝제(기타),
3077,Rutin,루틴,Rutin,"산화방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
3078,,,,,
3079,,,,,
3080,Linalyl Acetate,리날릴아세테이트,Linalyl Acetate,착향제,
3081,,,,,
3082,Litsea Cubeba Fruit Oil,리씨열매오일,Litsea Cubeba Fruit Oil,착향제,
3083,,,,,
3084,,,,,
3085,,,,,
3086,Lilium Candidum Flower Extract,마돈나백합꽃추출물,Lilium Candidum Flower Extract,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
3087,,,,,
3088,Sclerocarya Birrea Seed Oil,마룰라씨오일,Sclerocarya Birrea Seed Oil,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",
3089,Hydrolyzed Elastin,하이드롤라이즈드엘라스틴,Hydrolyzed Elastin,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
3090,,,,,
3091,CI 77019/Mica,마이카,Mica,"착색제, 불투명화제",
3092,,,,,
3093,Origanum Majorana Flower Oil,마조람꽃오일,Origanum Majorana Flower Oil,착향제,
3094,,,,,
3095,Ilex Paraguariensis Leaf Extract,마테잎추출물,Ilex Paraguariensis Leaf Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
3096,Chamomilla Recutita Flower Water,마트리카리아꽃수,Chamomilla Recutita (Matricaria) Flower Water,착향제,
3097,,,,,
3098,Chamomilla Recutita Flower Oil,마트리카리아꽃오일,Chamomilla Recutita (Matricaria) Flower Oil,"착향제, 피부컨디셔닝제(기타)",
3099,Chamomilla Recutita Flower Extract,마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
3100,,,,,
3101,,,,,
3102,,,,,
3103,Chamomilla Recutita Flower Extract,마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
3104,Mannose,만노오스,Mannose,"보습제, 피부컨디셔닝제(보습제)",
3105,,,,,
3106,,,,,
3107,,,,,
3108,,,,,
3109,,,,,
3110,,,,,
3111,Mangifera Indica Seed Oil,망고씨오일,Mangifera Indica (Mango) Seed Oil,수분증발차단제,
3112,Mangifera Indica Fruit Extract,망고추출물,Mangifera Indica (Mango) Fruit Extract,피부컨디셔닝제(기타),
3113,Prunus Mume Fruit Extract,매실추출물,Prunus Mume Fruit Extract,보습제,
3114,,,,,
3115,,,,,
3116,,,,,
3117,,,,,
3118,,,,,
3119,Spiraea Ulmaria Extract,메도우스위트추출물,Spiraea Ulmaria Extract,피부컨디셔닝제(기타),
3120,,,,,
3121,,,,,
3122,,,,,
3123,,,,,
3124,,,,,
3125,,,,,
3126,Sodium Methylparaben,소듐메틸파라벤,Sodium Methylparaben,보존제,
3127,,,,,
3128,Sodium Metaphosphate,소듐메타포스페이트,Sodium Metaphosphate,금속이온봉쇄제,
3129,Sodium Metabisulfite,소듐메타바이설파이트,Sodium Metabisulfite,"산화방지제, 환원제",
3130,,,,,
3131,Methyl salicylate,메틸살리실레이트,Methyl Salicylate,"변성제, 감미제, 착향제",
3132,,,,,
3133,,,,,
3134,,,,,
3135,Sorbitan Stearate,솔비탄스테아레이트,Sorbitan Stearate,"착향제, 계면활성제(유화제)",
3136,,,,,
3137,,,,,
3138,,,,,
3139,,,,,
3140,Magnolia Kobus Bark Extract,목련나무껍질추출물,Magnolia Kobus Bark Extract,피부보습제,
3141,,,,,
3142,,,,,
3143,Citric acid,시트릭애씨드,Citric Acid,"금속이온봉쇄제, 향료, pH 조절제",
3144,,,,,
3145,,,,,
3146,Dicalcium Phosphate,다이칼슘포스페이트,Dicalcium Phosphate,연마제,
3147,,,,,
3148,Sapindus Mukorossi Peel Extract,무환자나무껍질추출물,Sapindus Mukorossi Peel Extract,피부컨디셔닝제(기타),
3149,,,,,
3150,,,,,
3151,,,,,
3152,,,,,
3153,,,,,
3154,,,,,
3155,Microcrystalline Cellulose,마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,"연마제, 흡수제, 안티케이킹제, 벌킹제(증량제), 유화안정제, 미끄럼조정제/활택제, 점도증가제(수성)",
3156,Quercus Alba Bark Extract,미국참나무껍질추출물,Quercus Alba Bark Extract,피부컨디셔닝제(기타),
3157,,,,,
3158,,,,,
3159,,,,,
3160,,,,,
3161,Undaria Pinnatifida Extract,미역추출물,Undaria Pinnatifida Extract,피부컨디셔닝제(기타),
3162,,,,,
3163,,,,,
3164,Triticum Vulgare Germ,밀배아,Triticum Vulgare (Wheat) Germ,피부컨디셔닝제(기타),
3165,Triticum Vulgare Germ Oil,밀배아오일,Triticum Vulgare (Wheat) Germ Oil,수분증발차단제,
3166,Wheat Amino Acids,밀아미노산,Wheat Amino Acids,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
3167,Triticum Vulgare Starch,밀전분,Triticum Vulgare (Wheat) Starch,"스크럽제, 흡수제, 결합제, 벌킹제, 점증제-수용성",
3168,,,,,
3169,,,,,
3170,,,,,
3171,Vanilla Planifolia Fruit Oil,바닐라열매오일,Vanilla Planifolia Fruit Oil,피부컨디셔닝제(유연제),
3172,,,,,
3173,Vanillin,바닐린,Vanillin,"감미제, 착향제",
3174,,,,,
3175,Orbignya Oleifera Seed Oil,바바수씨오일,Orbignya Oleifera Seed Oil,수분증발차단제,
3176,Babassuamidopropyl Betaine,바바수아미도프로필베타인,Babassuamidopropyl Betaine,"산화방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 거품형성제, 점증제-수용성",
3177,Adansonia Digitata Seed Oil,바오밥나무씨오일,Adansonia Digitata Seed Oil,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",
3178,Adansonia Digitata Seed Extract,바오밥나무씨추출물,Adansonia Digitata Seed Extract,피부컨디셔닝제(기타),
3179,Adansonia Digitata Fruit Extract,바오밥나무열매추출물,Adansonia Digitata Fruit Extract,피부컨디셔닝제(유연제),
3180,Adansonia Digitata Leaf Extract,바오밥나무잎추출물,Adansonia Digitata Leaf Extract,피부컨디셔닝제(기타),
3181,,,,,
3182,Aleurites Moluccanus Bakoly Seed Oil,바콜리쿠쿠이나무씨오일,Aleurites Moluccanus Bakoly Seed Oil,"퍼머넌트웨이브용제/헤어스트레이트너용제, 피부컨디셔닝제(기타)",
3183,,,,,
3184,Mentha Arvensis Leaf Extract,콘민트잎추출물,Mentha Arvensis Leaf Extract,피부컨디셔닝제(기타),
3185,,,,,
3186,Amyris Balsamifera Bark Oil,발삼아미리스껍질오일,Amyris Balsamifera Bark Oil,착향제,
3187,,,,,
3188,,,,,
3189,,,,,
3190,,,,,
3191,,,,,
3192,,,,,
3193,,,,,
3194,Beeswax,비즈왁스,Beeswax,"결합제, 유화안정제, 제모제, 향료, 피부컨디셔닝제, 계면활성제-유화제, 점증제-비수용성",
3195,Sucrose,수크로오스,Sucrose,"감미제, 보습제",
3196,Kaolin,카올린,Kaolin,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 피부보호제, 미끄럼개선제",
3197,,,,,
3198,,,,,
3199,,,,,
3200,,,,,
3201,Lilium Tigrinum Extract,참나리추출물,Lilium Tigrinum Extract,피부컨디셔닝제(기타),
3202,Citrus Aurantium Bergamia Fruit Oil,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,착향제,
3203,,,,,
3204,,,,,
3205,,,,,
3206,,,,,
3207,,,,,
3208,,,,,
3209,Monarda Didyma Leaf Extract,베르가못잎추출물,Monarda Didyma Leaf Extract,피부컨디셔닝제(기타),
3210,,,,,
3211,,,,,
3212,,,,,
3213,,,,,
3214,Vetiveria Zizanoides Root Oil,베티버뿌리오일,Vetiveria Zizanoides Root Oil,착향제,
3215,Vetiveria Zizanoides Root Extract,베티버뿌리추출물,Vetiveria Zizanoides Root Extract,피부컨디셔닝제(기타),
3216,Behenyl Alcohol,베헤닐알코올,Behenyl Alcohol,"결합제, 유화안정제, 점증제-비수용성",
3217,,,,,
3218,,,,,
3219,,,,,
3220,Styrax Benzoin Resin Extract,벤조인나무수지추출물,Styrax Benzoin Resin Extract,향료,
3221,Benzophenone-8,벤조페논-8,Benzophenone-8,"자외선차단(기능성화장품), 변색방지제",
3222,Benzyl Cinnamate,벤질신나메이트,Benzyl Cinnamate,착향제,
3223,SD Alcohol 40-B,에스디알코올40-B,SD Alcohol 40-B,"수렴제, 용제, 점도감소제",
3224,,,,,
3225,,,,,
3226,,,,,
3227,,,,,
3228,,,,,
3229,,,,,
3230,,,,,
3231,Camellia Sinensis Leaf Extract,녹차추출물,Camellia Sinensis Leaf Extract,"산화방지제, 수렴제, 향료, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제, 변색방지제",
3232,,,,,
3233,,,,,
3234,,,,,
3235,,,,,
3236,,,,,
3237,,,,,
3238,,,,,
3239,,,,,
3240,,,,,
3241,,,,,
3242,,,,,
3243,,,,,
3244,,,,,
3245,Butyloctanol,부틸옥탄올,Butyloctanol,용제,
3246,BHA,비에이치에이,BHA,"산화방지제, 향료",
3247,,,,,
3248,,,,,
3249,Retinyl acetate,레티닐아세테이트,Retinyl Acetate,피부컨디셔닝제,
