idx,검색어,,,,
368,Beeswax,비즈왁스,Beeswax,"결합제, 유화안정제, 제모제, 향료, 피부컨디셔닝제, 계면활성제-유화제, 점증제-비수용성",
369,C10-30 Cholesterol/Lanosterol Esters,C10-30콜레스테롤/라노스테롤에스터,C10-30 Cholesterol/Lanosterol Esters,"피부컨디셔닝제, 점증제-비수용성",
370,,,,,
371,C12-15 Alkyl Benzoate,C12-15알킬벤조에이트,C12-15 Alkyl Benzoate,피부유연화제,
372,,,,,
373,C12-13 Pareth-23,C12-13파레스-23,C12-13 Pareth-23,"계면활성제(세정제), 계면활성제(용해보조제)",
374,,,,,
375,,,,,
376,C12-13 Alkyl Lactate,C12-13알킬락테이트,C12-13 Alkyl Lactate,피부유연화제,
377,,,,,
378,,,,,
379,C12-14 Pareth-12,C12-14파레스-12,C12-14 Pareth-12,계면활성제-유화제,
380,,,,,
381,,,,,
382,C12-20 Alkyl Glucoside,C12-20알킬글루코사이드,C12-20 Alkyl Glucoside,계면활성제-유화제,
383,C13-14 Isoparaffin,C13-14아이소파라핀,C13-14 Isoparaffin,"피부컨디셔닝제(기타), 용제",
384,C14-22 Alcohols,C14-22알코올,C14-22 Alcohols,유화안정제,
385,,,,,
386,Calcium Chloride,칼슘클로라이드,Calcium Chloride,"수렴제, 점증제-수용성",
387,CI 77231/Calcium Sulfate,칼슘설페이트,Calcium Sulfate,"연마제, 벌킹제(증량제), 불투명화제",
388,CI 77220/Calcium Carbonate,칼슘카보네이트,Calcium Carbonate,"스크럽제, pH 완충제, 벌킹제, 불투명화제,",
389,Melaleuca Leucadendron Cajaput Oil,카제푸트오일,Melaleuca Leucadendron Cajaput Oil,향료,
390,Acorus Calamus Root Extract,창포뿌리추출물,Acorus Calamus Root Extract,피부컨디셔닝제(기타),
391,,,,,
392,,,,,
393,Calcium Lactate,칼슘락테이트,Calcium Lactate,"수렴제, 각질제거제",
394,Calcium Pantothenate,칼슘판토테네이트,Calcium Pantothenate,모발컨디셔닝제,
395,Calcium PCA,칼슘피씨에이,Calcium PCA,피부보습제,
396,Tricalcium Phosphate,트라이칼슘포스페이트,Tricalcium Phosphate,"연마제, 착향제",
397,Calcium Pyrophosphate,칼슘파이로포스페이트,Calcium Pyrophosphate,연마제,
398,Dicalcium Phosphate,다이칼슘포스페이트,Dicalcium Phosphate,연마제,
399,Calcium Phosphate,칼슘포스페이트,Calcium Phosphate,"스크럽제, pH 완충제, 벌킹제,",
400,,,,,
401,Calendula Officinalis Flower Oil,포트마리골드꽃오일,Calendula Officinalis Flower Oil,"착향제, 피부컨디셔닝제(기타)",
402,,,,,
403,,,,,
404,Calendula Officinalis Flower,포트마리골드꽃,Calendula Officinalis Flower,각질제거제,
405,Calendula Officinalis Flower Extract,포트마리골드꽃추출물,Calendula Officinalis Flower Extract,"착향제, 피부컨디셔닝제(기타)",
406,Calendula Officinalis Flower Oil,포트마리골드꽃오일,Calendula Officinalis Flower Oil,"착향제, 피부컨디셔닝제(기타)",
407,Calendula Officinalis Seed Oil,포트마리골드씨오일,Calendula Officinalis Seed Oil,피부컨디셔닝제(수분차단제),
408,Calendula Officinalis Seed Oil,포트마리골드씨오일,Calendula Officinalis Seed Oil,피부컨디셔닝제(수분차단제),
409,,,,,
410,Calophyllum Inophyllum Seed Oil,호동씨오일,Calophyllum Inophyllum Seed Oil,"산화방지제, 광안정화제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
411,,,,,
412,Camellia Japonica Seed Oil,동백나무씨오일,Camellia Japonica Seed Oil,피부컨디셔닝제(수분차단제),
413,Camellia Japonica Seed Oil,동백나무씨오일,Camellia Japonica Seed Oil,피부컨디셔닝제(수분차단제),
414,Caprylyl/Capryl Glucoside,카프릴릴/카프릴글루코사이드,Caprylyl/Capryl Glucoside,계면활성제-세정제,
415,,,,,
416,Camellia Oleifera Seed Oil,유차나무씨오일,Camellia Oleifera Seed Oil,피부컨디셔닝제(기타),
417,Camellia Oleifera Seed Extract,유차나무씨추출물,Camellia Oleifera Seed Extract,피부컨디셔닝제(기타),
418,Camellia Oleifera Leaf Extract,유차나무잎추출물,Camellia Oleifera Leaf Extract,"수렴제, 피부컨디셔닝제",
419,Camellia Sinensis Seed Oil,녹차씨오일,Camellia Sinensis Seed Oil,"피부컨디셔닝제(보습제), 피부컨디셔닝제(수분차단제)",
420,Camellia Sinensis Leaf Extract,녹차추출물,Camellia Sinensis Leaf Extract,"산화방지제, 수렴제, 향료, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제, 변색방지제",
421,,,,,
422,Camellia Sinensis Leaf Oil,녹차오일,Camellia Sinensis Leaf Oil,"산화방지제, 피부컨디셔닝제(기타)",
423,Camphor,캠퍼,Camphor,"변성제, 향료, 가소제",
424,Cananga Odorata Flower Oil,일랑일랑꽃오일,Cananga Odorata Flower Oil,착향제,
425,Cananga Odorata Flower Oil,일랑일랑꽃오일,Cananga Odorata Flower Oil,착향제,
426,,,,,
427,Cannabis Sativa Seed Oil,삼씨오일,Cannabis Sativa Seed Oil,피부컨디셔닝제(기타),
428,Canola Oil,카놀라오일,Canola Oil,피부컨디셔닝제(수분차단제),
429,Capparis Spinosa Fruit Extract,카퍼열매추출물,Capparis Spinosa Fruit Extract,피부컨디셔닝제(기타),
430,Chamomilla Recutita Flower Extract,마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
431,Chamomilla Recutita Flower Extract,마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
